# start_setpoint = 300 K
# end_setpoint = 160 K
# ramp_rate = 0.2 K/min
# resistance = 10 kOhm
# start_date = 2025-10-15
TemperatureA,TemperatureB,Voltage,Current,Setpoint,pwr,mnumber,Time
300.0,302.99,+7.04604630E+00,+6.95179400E-04,+302.80,+007.8,0,15/10/2025-17:49:28
300.0,302.93,+7.04612200E+00,+6.95189800E-04,+302.77,+007.8,1,15/10/2025-17:49:39
300.01,302.87,+7.04620200E+00,+6.95198400E-04,+302.73,+007.8,2,15/10/2025-17:49:50
300.01,302.82,+7.04628310E+00,+6.95205600E-04,+302.69,+007.8,3,15/10/2025-17:50:01
300.01,302.76,+7.04636310E+00,+6.95210000E-04,+302.66,+007.9,4,15/10/2025-17:50:12
300.02,302.71,+7.04644850E+00,+6.95221200E-04,+302.62,+007.9,5,15/10/2025-17:50:23
300.02,302.66,+7.04652640E+00,+6.95226600E-04,+302.58,+008.0,6,15/10/2025-17:50:34
300.02,302.61,+7.04660530E+00,+6.95235000E-04,+302.55,+008.0,7,15/10/2025-17:50:45
300.02,302.56,+7.04668530E+00,+6.95243100E-04,+302.51,+008.0,8,15/10/2025-17:50:56
300.02,302.51,+7.04676640E+00,+6.95254000E-04,+302.47,+008.1,9,15/10/2025-17:51:07
300.01,302.47,+7.04684640E+00,+6.95259500E-04,+302.44,+008.1,10,15/10/2025-17:51:18
300.01,302.43,+7.04692530E+00,+6.95267800E-04,+302.40,+008.1,11,15/10/2025-17:51:29
300.01,302.39,+7.04700530E+00,+6.95276400E-04,+302.36,+008.1,12,15/10/2025-17:51:40
300.0,302.35,+7.04708640E+00,+6.95282800E-04,+302.33,+008.1,13,15/10/2025-17:51:51
300.0,302.31,+7.04716640E+00,+6.95290000E-04,+302.29,+008.1,14,15/10/2025-17:52:02
299.99,302.27,+7.04724640E+00,+6.95300300E-04,+302.25,+008.2,15,15/10/2025-17:52:13
299.98,302.23,+7.04732540E+00,+6.95315000E-04,+302.22,+008.2,16,15/10/2025-17:52:24
299.98,302.19,+7.04740540E+00,+6.95318500E-04,+302.18,+008.1,17,15/10/2025-17:52:35
299.97,302.16,+7.04748760E+00,+6.95327400E-04,+302.14,+008.1,18,15/10/2025-17:52:46
299.96,302.12,+7.04756430E+00,+6.95329400E-04,+302.11,+008.1,19,15/10/2025-17:52:57
299.95,302.08,+7.04764650E+00,+6.95338600E-04,+302.07,+008.1,20,15/10/2025-17:53:08
299.95,302.04,+7.04772110E+00,+6.95348400E-04,+302.03,+008.1,21,15/10/2025-17:53:19
299.94,302.01,+7.04780220E+00,+6.95357100E-04,+302.00,+008.1,22,15/10/2025-17:53:30
299.93,301.97,+7.04787680E+00,+6.95366800E-04,+301.96,+008.1,23,15/10/2025-17:53:41
299.92,301.93,+7.04795790E+00,+6.95370600E-04,+301.92,+008.1,24,15/10/2025-17:53:52
299.91,301.9,+7.04803680E+00,+6.95376900E-04,+301.89,+008.1,25,15/10/2025-17:54:03
299.9,301.86,+7.04811140E+00,+6.95383800E-04,+301.85,+008.1,26,15/10/2025-17:54:14
