# start_setpoint = 300 K
# end_setpoint = 160 K
# ramp_rate = 0.1 K/min
# resistance = 3 kOhm
# start_date = 2025-09-11
TemperatureA,TemperatureB,Voltage,Current,Setpoint,pwr,mnumber,Time
296.19,295.57,+1.47510630E+00,+4.72837500E-04,+226.65,+000.0,4149,11/09/2025-14:32:07
296.19,295.57,+1.47500150E+00,+4.72816100E-04,+226.63,+000.0,4150,11/09/2025-14:32:18
296.19,295.51,+1.47494960E+00,+4.72794000E-04,+226.61,+000.0,4151,11/09/2025-14:32:29
296.19,295.1,+1.47491600E+00,+4.72788200E-04,+226.59,+000.0,4152,11/09/2025-14:32:40
296.19,294.45,+1.47488470E+00,+4.72775300E-04,+226.57,+000.0,4153,11/09/2025-14:32:51
296.19,293.61,+1.47486630E+00,+4.72770400E-04,+226.56,+000.0,4154,11/09/2025-14:33:02
296.18,292.5,+1.47484680E+00,+4.72762300E-04,+226.54,+000.0,4155,11/09/2025-14:33:13
296.17,291.1,+1.47482740E+00,+4.72757700E-04,+226.52,+000.0,4156,11/09/2025-14:33:24
296.15,289.39,+1.47481120E+00,+4.72753400E-04,+226.50,+000.0,4157,11/09/2025-14:33:35
296.12,287.45,+1.47480030E+00,+4.72750800E-04,+226.48,+000.0,4158,11/09/2025-14:33:46
296.07,285.33,+1.47478850E+00,+4.72745900E-04,+226.46,+000.0,4159,11/09/2025-14:33:57
296.01,282.93,+1.47477660E+00,+4.72746800E-04,+226.45,+000.0,4160,11/09/2025-14:34:08
295.93,280.39,+1.47477120E+00,+4.72741300E-04,+226.43,+000.0,4161,11/09/2025-14:34:19
295.83,277.92,+1.47476140E+00,+4.72740400E-04,+226.41,+000.0,4162,11/09/2025-14:34:30
295.7,275.53,+1.47475710E+00,+4.72737800E-04,+226.39,+000.0,4163,11/09/2025-14:34:41
295.55,273.22,+1.47475170E+00,+4.72733200E-04,+226.37,+000.0,4164,11/09/2025-14:34:52
295.39,270.96,+1.47475060E+00,+4.72736400E-04,+226.35,+000.0,4165,11/09/2025-14:35:03
295.19,268.76,+1.47475060E+00,+4.72737600E-04,+226.34,+000.0,4166,11/09/2025-14:35:14
294.98,266.65,+1.47475280E+00,+4.72734400E-04,+226.32,+000.0,4167,11/09/2025-14:35:25
294.75,264.59,+1.47475600E+00,+4.72737300E-04,+226.30,+000.0,4168,11/09/2025-14:35:36
294.5,262.58,+1.47480580E+00,+4.72730100E-04,+226.28,+000.0,4169,11/09/2025-14:35:47
294.24,260.62,+1.47481330E+00,+4.72754800E-04,+226.26,+000.0,4170,11/09/2025-14:35:58
293.97,258.81,+1.47481980E+00,+4.72766300E-04,+226.24,+000.0,4171,11/09/2025-14:36:09
293.7,257.65,+1.47482310E+00,+4.72779600E-04,+226.23,+000.0,4172,11/09/2025-14:36:20
293.45,256.96,+1.47481660E+00,+4.72789400E-04,+226.21,+000.0,4173,11/09/2025-14:36:31
293.21,256.57,+1.47481220E+00,+4.72794600E-04,+226.19,+000.0,4174,11/09/2025-14:36:42
293.01,256.37,+1.47480030E+00,+4.72795100E-04,+226.17,+000.0,4175,11/09/2025-14:36:53
292.81,256.3,+1.47479170E+00,+4.72798900E-04,+226.15,+000.0,4176,11/09/2025-14:37:05
292.64,256.32,+1.47481220E+00,+4.72806900E-04,+226.13,+000.0,4177,11/09/2025-14:37:16
292.47,256.4,+1.47480580E+00,+4.72803800E-04,+226.12,+000.0,4178,11/09/2025-14:37:27
292.31,256.51,+1.47480030E+00,+4.72804300E-04,+226.10,+000.0,4179,11/09/2025-14:37:38
292.16,256.65,+1.47483060E+00,+4.72819000E-04,+226.08,+000.0,4180,11/09/2025-14:37:49
292.01,256.79,+1.47483930E+00,+4.72819900E-04,+226.06,+000.0,4181,11/09/2025-14:38:00
291.86,256.94,+1.47484900E+00,+4.72824800E-04,+226.04,+000.0,4182,11/09/2025-14:38:11
291.72,257.09,+1.47485660E+00,+4.72830300E-04,+226.02,+000.0,4183,11/09/2025-14:38:22
