# highest_setpoint = 300 K
# lowest_setpoint = 150 K
# ramp_rate = 0.1 K/min
# date = 2025-11-13
# t0 = 7 min
TemperatureA,TemperatureB,Voltage,Current,Setpoint,pwr,mnumber,Time
299.85,300.0,1.4118219,0.0002759496,299.99,+010.6,2,13/11/2025-12:08:40
299.85,300.0,1.4118262,0.000275947,299.97,+010.5,3,13/11/2025-12:08:50
299.85,299.99,1.4118251,0.000275945,299.96,+010.3,4,13/11/2025-12:09:00
299.85,299.97,1.4118295,0.000275943,299.94,+010.3,5,13/11/2025-12:09:10
299.85,299.96,1.4118316,0.0002759519,299.92,+010.2,6,13/11/2025-12:09:20
299.85,299.95,1.4118349,0.000275947,299.91,+010.1,7,13/11/2025-12:09:30
299.84,299.93,1.411836,0.0002759493,299.89,+010.1,8,13/11/2025-12:09:40
299.84,299.91,1.4118381,0.0002759493,299.87,+010.1,9,13/11/2025-12:09:50
299.84,299.89,1.4118414,0.0002759493,299.86,+010.0,10,13/11/2025-12:10:00
299.84,299.87,1.4118457,0.0002759513,299.84,+010.0,11,13/11/2025-12:10:10
299.84,299.85,1.4118468,0.0002759508,299.82,+010.0,12,13/11/2025-12:10:20
299.84,299.83,1.4118511,0.000275945,299.81,+010.0,13,13/11/2025-12:10:30
299.83,299.82,1.4118511,0.0002759516,299.79,+010.0,14,13/11/2025-12:10:40
299.83,299.8,1.4118543,0.0002759562,299.77,+010.0,15,13/11/2025-12:10:50
299.83,299.78,1.4118576,0.0002759534,299.76,+010.0,16,13/11/2025-12:11:00
299.83,299.76,1.4118619,0.0002759554,299.74,+010.0,17,13/11/2025-12:11:10
299.83,299.74,1.4118608,0.0002759519,299.72,+010.0,18,13/11/2025-12:11:20
299.83,299.72,1.4118651,0.0002759557,299.71,+010.0,19,13/11/2025-12:11:30
299.82,299.7,1.4118673,0.0002759559,299.69,+010.0,20,13/11/2025-12:11:40
299.82,299.69,1.4118695,0.0002759565,299.67,+010.0,21,13/11/2025-12:11:50
299.82,299.67,1.4118749,0.0002759568,299.66,+010.0,22,13/11/2025-12:12:00
299.82,299.65,1.4118781,0.0002759548,299.64,+009.9,23,13/11/2025-12:12:10
299.82,299.63,1.4118814,0.0002759611,299.62,+009.9,24,13/11/2025-12:12:20
299.81,299.62,1.4118824,0.0002759603,299.61,+009.9,25,13/11/2025-12:12:30
299.81,299.6,1.4118835,0.0002759559,299.59,+010.0,26,13/11/2025-12:12:40
299.81,299.58,1.4118879,0.0002759548,299.57,+009.9,27,13/11/2025-12:12:50
299.81,299.56,1.4118889,0.0002759594,299.56,+009.9,28,13/11/2025-12:13:00
299.8,299.55,1.4118922,0.0002759571,299.54,+009.9,29,13/11/2025-12:13:10
299.8,299.53,1.4118943,0.0002759608,299.52,+009.9,30,13/11/2025-12:13:20
299.8,299.51,1.4118976,0.0002759582,299.51,+009.9,31,13/11/2025-12:13:30
299.8,299.5,1.4118997,0.0002759623,299.49,+009.9,32,13/11/2025-12:13:40
299.79,299.48,1.4119041,0.0002759617,299.47,+009.9,33,13/11/2025-12:13:50
299.79,299.46,1.4119041,0.000275964,299.46,+009.9,34,13/11/2025-12:14:00
299.79,299.45,1.4119073,0.0002759626,299.44,+009.9,35,13/11/2025-12:14:10
299.79,299.43,1.4119116,0.0002759614,299.42,+009.9,36,13/11/2025-12:14:20
