# highest_setpoint = 300 K
# lowest_setpoint = 150 K
# ramp_rate = 0.4 K/min
# date = 2025-11-10
# t0 = 7 min
TemperatureA,TemperatureB,Voltage,Current,Setpoint,pwr,mnumber,Time
299.4,300.0,1.4620203,0.000285784,299.98,+009.8,1236,11/11/2025-04:50:10
299.4,299.99,1.4620213,0.0002857806,299.92,+009.2,1237,11/11/2025-04:50:20
299.4,299.96,1.4620203,0.000285782,299.85,+008.8,1238,11/11/2025-04:50:30
299.41,299.92,1.4620235,0.0002857817,299.78,+008.4,1239,11/11/2025-04:50:40
299.41,299.87,1.4620246,0.0002857817,299.72,+008.1,1240,11/11/2025-04:50:50
299.41,299.81,1.4620246,0.000285784,299.65,+007.8,1241,11/11/2025-04:51:00
299.41,299.75,1.4620257,0.0002857815,299.58,+007.6,1242,11/11/2025-04:51:10
299.41,299.68,1.4620278,0.0002857843,299.52,+007.5,1243,11/11/2025-04:51:20
299.41,299.6,1.46203,0.0002857846,299.45,+007.4,1244,11/11/2025-04:51:30
299.4,299.53,1.4620322,0.0002857812,299.38,+007.3,1245,11/11/2025-04:51:40
299.4,299.45,1.4620322,0.000285782,299.32,+007.2,1246,11/11/2025-04:51:50
299.4,299.38,1.4620343,0.0002857875,299.25,+007.2,1247,11/11/2025-04:52:00
299.39,299.3,1.4620365,0.0002857835,299.18,+007.2,1248,11/11/2025-04:52:10
299.39,299.22,1.4620386,0.0002857869,299.12,+007.2,1249,11/11/2025-04:52:20
299.38,299.15,1.4620365,0.0002857849,299.05,+007.1,1250,11/11/2025-04:52:30
299.38,299.07,1.4620376,0.0002857863,298.98,+007.1,1251,11/11/2025-04:52:40
299.37,299.0,1.4620397,0.0002857858,298.92,+007.1,1252,11/11/2025-04:52:50
299.36,298.92,1.4620419,0.0002857855,298.85,+007.1,1253,11/11/2025-04:53:00
299.35,298.85,1.462044,0.0002857866,298.78,+007.1,1254,11/11/2025-04:53:10
299.34,298.78,1.4620451,0.0002857898,298.72,+007.1,1255,11/11/2025-04:53:20
299.33,298.7,1.4620462,0.0002857892,298.65,+007.1,1256,11/11/2025-04:53:30
299.32,298.63,1.4620484,0.0002857884,298.58,+007.1,1257,11/11/2025-04:53:40
299.3,298.56,1.4620516,0.0002857895,298.52,+007.0,1258,11/11/2025-04:53:50
