# start_setpoint = 300 K
# end_setpoint = 160 K
# ramp_rate = 0.05 K/min
# resistance = 3 kOhm
# end_date = 2025-07-30
TemperatureA,TemperatureB,Voltage,Current,Setpoint,pwr,mnumber,Time
301.72,302.99,+1.52794500E+00,+4.88127300E-04,+302.81,+008.4,0,30/07/2025-18:22:15
301.72,302.93,+1.52794500E+00,+4.88132200E-04,+302.80,+008.7,1,30/07/2025-18:22:26
301.72,302.88,+1.52794720E+00,+4.88127600E-04,+302.80,+008.9,2,30/07/2025-18:22:37
301.72,302.84,+1.52795040E+00,+4.88131000E-04,+302.79,+009.1,3,30/07/2025-18:22:48
301.72,302.81,+1.52794930E+00,+4.88132500E-04,+302.78,+009.3,4,30/07/2025-18:22:59
301.72,302.78,+1.52794930E+00,+4.88130400E-04,+302.77,+009.4,5,30/07/2025-18:23:10
301.72,302.76,+1.52795260E+00,+4.88135300E-04,+302.76,+009.5,6,30/07/2025-18:23:21
301.72,302.74,+1.52795260E+00,+4.88126700E-04,+302.75,+009.6,7,30/07/2025-18:23:32
301.72,302.73,+1.52795370E+00,+4.88134800E-04,+302.74,+009.7,8,30/07/2025-18:23:43
301.71,302.72,+1.52795800E+00,+4.88130100E-04,+302.73,+009.8,9,30/07/2025-18:23:54
301.71,302.71,+1.52796230E+00,+4.88134500E-04,+302.72,+009.8,10,30/07/2025-18:24:05
301.71,302.7,+1.52795690E+00,+4.88135900E-04,+302.71,+009.8,11,30/07/2025-18:24:16
301.71,302.69,+1.52796010E+00,+4.88137100E-04,+302.70,+009.8,12,30/07/2025-18:24:27
301.71,302.68,+1.52796120E+00,+4.88133300E-04,+302.69,+009.8,13,30/07/2025-18:24:38
301.71,302.67,+1.52796230E+00,+4.88133600E-04,+302.69,+009.9,14,30/07/2025-18:24:49
301.71,302.67,+1.52796550E+00,+4.88129900E-04,+302.68,+009.8,15,30/07/2025-18:25:00
301.7,302.66,+1.52796660E+00,+4.88136800E-04,+302.67,+009.8,16,30/07/2025-18:25:11
301.7,302.65,+1.52796550E+00,+4.88137300E-04,+302.66,+009.8,17,30/07/2025-18:25:22
301.7,302.64,+1.52796770E+00,+4.88132200E-04,+302.65,+009.8,18,30/07/2025-18:25:33
301.7,302.64,+1.52797100E+00,+4.88137600E-04,+302.64,+009.8,19,30/07/2025-18:25:44
301.7,302.63,+1.52797100E+00,+4.88138200E-04,+302.63,+009.8,20,30/07/2025-18:25:55
