# start_setpoint = 300 K
# end_setpoint = 160 K
# ramp_rate = 0.05 K/min
# resistance = 3 kOhm
# start_date = 2025-07-03
TemperatureA,TemperatureB,Voltage,Current,Setpoint,pwr,mnumber,Time
302.72,302.69,+3.19218010E+00,+1.02640430E-03,+302.67,+009.3,0,03/07/2025-12:34:09
302.71,302.68,+3.19218010E+00,+1.02640540E-03,+302.66,+009.3,1,03/07/2025-12:34:20
302.7,302.67,+3.19217790E+00,+1.02640860E-03,+302.65,+009.2,2,03/07/2025-12:34:31
302.69,302.66,+3.19218110E+00,+1.02640920E-03,+302.64,+009.2,3,03/07/2025-12:34:42
302.68,302.65,+3.19218330E+00,+1.02640520E-03,+302.63,+009.2,4,03/07/2025-12:34:53
302.67,302.64,+3.19218010E+00,+1.02640600E-03,+302.62,+009.1,5,03/07/2025-12:35:04
302.66,302.63,+3.19218220E+00,+1.02641610E-03,+302.61,+009.1,6,03/07/2025-12:35:15
302.65,302.62,+3.19218220E+00,+1.02641030E-03,+302.60,+009.1,7,03/07/2025-12:35:26
302.64,302.61,+3.19218330E+00,+1.02641410E-03,+302.59,+009.1,8,03/07/2025-12:35:37
302.63,302.6,+3.19218440E+00,+1.02641120E-03,+302.58,+009.2,9,03/07/2025-12:35:48
302.62,302.59,+3.19218220E+00,+1.02640980E-03,+302.58,+009.2,10,03/07/2025-12:35:59
302.61,302.58,+3.19218440E+00,+1.02640890E-03,+302.57,+009.2,11,03/07/2025-12:36:10
302.6,302.56,+3.19218550E+00,+1.02640540E-03,+302.56,+009.2,12,03/07/2025-12:36:21
302.59,302.55,+3.19218980E+00,+1.02641060E-03,+302.55,+009.2,13,03/07/2025-12:36:32
302.58,302.54,+3.19218760E+00,+1.02641150E-03,+302.54,+009.2,14,03/07/2025-12:36:43
302.57,302.53,+3.19218650E+00,+1.02640520E-03,+302.53,+009.2,15,03/07/2025-12:36:54
302.56,302.52,+3.19219090E+00,+1.02640890E-03,+302.52,+009.2,16,03/07/2025-12:37:05
302.55,302.51,+3.19218870E+00,+1.02640920E-03,+302.51,+009.2,17,03/07/2025-12:37:16
302.54,302.5,+3.19218650E+00,+1.02641350E-03,+302.50,+009.2,18,03/07/2025-12:37:27
302.53,302.49,+3.19218760E+00,+1.02641640E-03,+302.49,+009.2,19,03/07/2025-12:37:38
302.53,302.48,+3.19218870E+00,+1.02641840E-03,+302.48,+009.2,20,03/07/2025-12:37:49
302.52,302.47,+3.19219090E+00,+1.02641290E-03,+302.47,+009.2,21,03/07/2025-12:38:00
302.51,302.46,+3.19218980E+00,+1.02641350E-03,+302.47,+009.2,22,03/07/2025-12:38:11
302.5,302.45,+3.19218980E+00,+1.02641260E-03,+302.46,+009.3,23,03/07/2025-12:38:22
302.49,302.44,+3.19219190E+00,+1.02641490E-03,+302.45,+009.3,24,03/07/2025-12:38:33
302.48,302.44,+3.19218870E+00,+1.02641550E-03,+302.44,+009.2,25,03/07/2025-12:38:44
302.47,302.43,+3.19218870E+00,+1.02641960E-03,+302.43,+009.3,26,03/07/2025-12:38:55
302.46,302.42,+3.19218980E+00,+1.02641240E-03,+302.42,+009.3,27,03/07/2025-12:39:06
302.45,302.41,+3.19219190E+00,+1.02641580E-03,+302.41,+009.3,28,03/07/2025-12:39:17
302.45,302.4,+3.19219190E+00,+1.02641010E-03,+302.40,+009.3,29,03/07/2025-12:39:28
302.44,302.39,+3.19219190E+00,+1.02641150E-03,+302.39,+009.3,30,03/07/2025-12:39:39
302.43,302.38,+3.19219090E+00,+1.02641550E-03,+302.38,+009.3,31,03/07/2025-12:39:50
302.42,302.37,+3.19219090E+00,+1.02641520E-03,+302.37,+009.3,32,03/07/2025-12:40:01
302.41,302.36,+3.19219300E+00,+1.02641440E-03,+302.36,+009.3,33,03/07/2025-12:40:12
302.4,302.35,+3.19219410E+00,+1.02640690E-03,+302.35,+009.3,34,03/07/2025-12:40:23
302.39,302.34,+3.19219410E+00,+1.02641120E-03,+302.35,+009.3,35,03/07/2025-12:40:34
302.39,302.34,+3.19219300E+00,+1.02641380E-03,+302.34,+009.3,36,03/07/2025-12:40:46
302.38,302.33,+3.19219190E+00,+1.02641210E-03,+302.33,+009.3,37,03/07/2025-12:40:57
302.37,302.32,+3.19219410E+00,+1.02641840E-03,+302.32,+009.3,38,03/07/2025-12:41:08
302.36,302.31,+3.19219410E+00,+1.02641580E-03,+302.31,+009.3,39,03/07/2025-12:41:19
302.35,302.3,+3.19219300E+00,+1.02641550E-03,+302.30,+009.3,40,03/07/2025-12:41:30
302.34,302.29,+3.19219300E+00,+1.02641610E-03,+302.29,+009.3,41,03/07/2025-12:41:41
