# highest_setpoint = 300 K
# lowest_setpoint = 150 K
# ramp_rate = 0.1 K/min
# date = 2025-11-25
TemperatureA,TemperatureB,Voltage,Current,Setpoint,pwr,mnumber,Time
300.13,300.0,3.7502631,0.0003703815,299.99,+010.6,2,25/11/2025-21:28:30
300.13,300.0,3.7502317,0.0003703815,299.97,+010.5,3,25/11/2025-21:28:40
300.13,299.99,3.7502512,0.0003703789,299.96,+010.4,4,25/11/2025-21:28:50
300.13,299.98,3.7502653,0.0003703881,299.94,+010.3,5,25/11/2025-21:29:00
300.13,299.96,3.7502901,0.0003703838,299.92,+010.2,6,25/11/2025-21:29:10
300.13,299.95,3.750275,0.0003703841,299.91,+010.1,7,25/11/2025-21:29:20
300.13,299.93,3.7502469,0.0003703752,299.89,+010.1,8,25/11/2025-21:29:30
300.14,299.91,3.7501496,0.0003703743,299.87,+010.1,9,25/11/2025-21:29:40
300.13,299.89,3.7500869,0.0003703665,299.86,+010.0,10,25/11/2025-21:29:50
300.13,299.87,3.7499993,0.000370355,299.84,+010.0,11,25/11/2025-21:30:00
300.13,299.85,3.7499322,0.0003703484,299.82,+010.0,12,25/11/2025-21:30:10
300.13,299.83,3.7500706,0.0003703588,299.81,+010.0,13,25/11/2025-21:30:20
300.13,299.82,3.7500847,0.0003703648,299.79,+010.0,14,25/11/2025-21:30:30
300.13,299.8,3.7500631,0.0003703619,299.77,+010.0,15,25/11/2025-21:30:40
300.13,299.78,3.7500317,0.0003703614,299.76,+010.0,16,25/11/2025-21:30:50
300.13,299.76,3.7499841,0.0003703524,299.74,+010.0,17,25/11/2025-21:31:00
300.13,299.74,3.7499452,0.0003703501,299.72,+010.0,18,25/11/2025-21:31:10
300.12,299.72,3.7499041,0.0003703455,299.71,+010.0,19,25/11/2025-21:31:20
300.12,299.7,3.7499149,0.0003703499,299.69,+010.0,20,25/11/2025-21:31:30
300.12,299.69,3.7499095,0.0003703473,299.67,+010.0,21,25/11/2025-21:31:40
300.12,299.67,3.7499041,0.0003703475,299.66,+010.0,22,25/11/2025-21:31:50
300.12,299.65,3.7499409,0.0003703527,299.64,+010.0,23,25/11/2025-21:32:00
300.11,299.63,3.7499744,0.0003703524,299.62,+010.0,24,25/11/2025-21:32:10
300.11,299.62,3.7500112,0.000370357,299.61,+010.0,25,25/11/2025-21:32:20
300.11,299.6,3.7499582,0.0003703504,299.59,+010.0,26,25/11/2025-21:32:30
300.11,299.58,3.7498425,0.0003703395,299.57,+010.0,27,25/11/2025-21:32:40
300.1,299.57,3.7495982,0.0003703153,299.56,+010.0,28,25/11/2025-21:32:50
300.1,299.55,3.7493365,0.0003702897,299.54,+009.9,29,25/11/2025-21:33:00
300.1,299.53,3.7490943,0.0003702658,299.52,+010.0,30,25/11/2025-21:33:10
300.09,299.51,3.7487537,0.0003702307,299.51,+009.9,31,25/11/2025-21:33:20
300.09,299.5,3.7487559,0.0003702359,299.49,+009.9,32,25/11/2025-21:33:30
300.09,299.48,3.7488435,0.0003702425,299.47,+009.9,33,25/11/2025-21:33:40
300.08,299.46,3.7489375,0.0003702482,299.46,+009.9,34,25/11/2025-21:33:50
300.08,299.45,3.7489894,0.00037026,299.44,+009.9,35,25/11/2025-21:34:00
300.08,299.43,3.749037,0.0003702641,299.42,+009.9,36,25/11/2025-21:34:10
300.07,299.41,3.7490402,0.0003702626,299.41,+009.9,37,25/11/2025-21:34:20
300.07,299.4,3.7490327,0.0003702618,299.39,+009.9,38,25/11/2025-21:34:30
300.07,299.38,3.7490489,0.0003702615,299.37,+009.9,39,25/11/2025-21:34:40
300.06,299.36,3.7490716,0.0003702664,299.36,+009.9,40,25/11/2025-21:34:50
300.06,299.35,3.7490921,0.0003702678,299.34,+009.9,41,25/11/2025-21:35:00
300.06,299.33,3.7491332,0.000370275,299.32,+009.9,42,25/11/2025-21:35:10
300.05,299.31,3.7491408,0.0003702695,299.31,+009.9,43,25/11/2025-21:35:20
300.05,299.3,3.7491105,0.0003702655,299.29,+009.8,44,25/11/2025-21:35:30
300.05,299.28,3.7490294,0.0003702629,299.27,+009.8,45,25/11/2025-21:35:40
300.04,299.26,3.7489635,0.0003702523,299.26,+009.8,46,25/11/2025-21:35:50
300.04,299.25,3.7488521,0.0003702428,299.24,+009.8,47,25/11/2025-21:36:00
300.04,299.23,3.748704,0.0003702229,299.22,+009.8,48,25/11/2025-21:36:10
300.03,299.21,3.7485786,0.0003702183,299.21,+009.8,49,25/11/2025-21:36:20
300.03,299.2,3.7485159,0.0003702117,299.19,+009.8,50,25/11/2025-21:36:30
300.02,299.18,3.7484369,0.0003702042,299.17,+009.8,51,25/11/2025-21:36:40
300.02,299.16,3.7483299,0.0003701924,299.16,+009.8,52,25/11/2025-21:36:50
300.01,299.15,3.7487462,0.0003702373,299.14,+009.8,53,25/11/2025-21:37:00
300.01,299.13,3.7486445,0.000370222,299.12,+009.8,54,25/11/2025-21:37:10
300.01,299.11,3.7485299,0.0003702071,299.11,+009.8,55,25/11/2025-21:37:20
300.0,299.1,3.7484142,0.0003701967,299.09,+009.8,56,25/11/2025-21:37:30
300.0,299.08,3.7486488,0.0003702289,299.07,+009.8,57,25/11/2025-21:37:40
299.99,299.06,3.7486478,0.000370222,299.06,+009.8,58,25/11/2025-21:37:50
299.99,299.05,3.7485797,0.0003702192,299.04,+009.8,59,25/11/2025-21:38:00
299.98,299.03,3.7485915,0.0003702197,299.02,+009.8,60,25/11/2025-21:38:10
299.98,299.01,3.7486056,0.0003702203,299.01,+009.8,61,25/11/2025-21:38:20
299.98,299.0,3.7486272,0.0003702209,298.99,+009.8,62,25/11/2025-21:38:30
299.97,298.98,3.748784,0.0003702373,298.97,+009.8,63,25/11/2025-21:38:40
299.97,298.96,3.7487916,0.0003702382,298.96,+009.8,64,25/11/2025-21:38:50
299.96,298.94,3.7488856,0.0003702514,298.94,+009.8,65,25/11/2025-21:39:00
299.96,298.93,3.7489862,0.0003702635,298.92,+009.7,66,25/11/2025-21:39:10
299.95,298.91,3.7490921,0.0003702669,298.91,+009.7,67,25/11/2025-21:39:20
299.95,298.9,3.74917,0.0003702741,298.89,+009.7,68,25/11/2025-21:39:30
299.94,298.88,3.7492305,0.0003702816,298.87,+009.7,69,25/11/2025-21:39:40
299.94,298.86,3.74925,0.0003703116,298.86,+009.7,70,25/11/2025-21:39:50
299.93,298.84,3.7495852,0.0003703173,298.84,+009.7,71,25/11/2025-21:40:00
299.93,298.83,3.7496349,0.0003703219,298.82,+009.7,72,25/11/2025-21:40:10
