# highest_setpoint = 300 K
# lowest_setpoint = 150 K
# ramp_rate = 0.1 K/min
# date = 2025-12-02
TemperatureA,TemperatureB,Voltage,Current,Setpoint,pwr,mnumber,Time
301.0,300.0,3.2232389,0.0003183163,299.99,+010.4,2,02/12/2025-12:24:49
301.0,300.0,3.2232367,0.000318316,299.97,+010.3,3,02/12/2025-12:24:59
300.99,299.99,3.2232324,0.0003183209,299.96,+010.1,4,02/12/2025-12:25:09
300.99,299.98,3.2232324,0.0003183169,299.94,+010.0,5,02/12/2025-12:25:19
300.99,299.96,3.2232259,0.0003183146,299.92,+010.0,6,02/12/2025-12:25:29
300.99,299.95,3.2232259,0.0003183117,299.91,+009.9,7,02/12/2025-12:25:39
300.98,299.93,3.2232248,0.0003183157,299.89,+009.8,8,02/12/2025-12:25:49
300.98,299.91,3.2232205,0.0003183186,299.87,+009.8,9,02/12/2025-12:25:59
300.97,299.89,3.2232151,0.00031832,299.86,+009.8,10,02/12/2025-12:26:09
300.97,299.87,3.2232129,0.0003183148,299.84,+009.8,11,02/12/2025-12:26:19
300.97,299.85,3.2232107,0.000318314,299.82,+009.8,12,02/12/2025-12:26:29
300.96,299.84,3.2232118,0.0003183137,299.81,+009.8,13,02/12/2025-12:26:39
300.96,299.82,3.2232043,0.0003183154,299.79,+009.8,14,02/12/2025-12:26:49
300.95,299.8,3.2232043,0.0003183137,299.77,+009.8,15,02/12/2025-12:26:59
300.94,299.78,3.2232021,0.0003183108,299.76,+009.7,16,02/12/2025-12:27:09
300.94,299.76,3.2231978,0.000318316,299.74,+009.8,17,02/12/2025-12:27:19
300.93,299.74,3.2231945,0.0003183128,299.72,+009.8,18,02/12/2025-12:27:29
300.93,299.72,3.2231902,0.0003183097,299.71,+009.8,19,02/12/2025-12:27:39
300.92,299.7,3.2231891,0.0003183148,299.69,+009.8,20,02/12/2025-12:27:49
300.91,299.69,3.2231837,0.0003183105,299.67,+009.7,21,02/12/2025-12:27:59
300.9,299.67,3.2231837,0.00031831,299.66,+009.8,22,02/12/2025-12:28:09
300.9,299.65,3.2231805,0.0003183094,299.64,+009.8,23,02/12/2025-12:28:19
300.89,299.63,3.2231772,0.0003183123,299.62,+009.7,24,02/12/2025-12:28:29
300.88,299.62,3.223174,0.0003183111,299.61,+009.7,25,02/12/2025-12:28:39
300.87,299.6,3.2231707,0.0003183102,299.59,+009.7,26,02/12/2025-12:28:49
300.87,299.58,3.2231718,0.0003183137,299.57,+009.7,27,02/12/2025-12:28:59
300.86,299.56,3.2231664,0.0003183094,299.56,+009.7,28,02/12/2025-12:29:09
300.85,299.55,3.2231653,0.0003183082,299.54,+009.7,29,02/12/2025-12:29:19
300.84,299.53,3.2231621,0.0003183094,299.52,+009.7,30,02/12/2025-12:29:29
300.83,299.51,3.223161,0.0003183088,299.51,+009.7,31,02/12/2025-12:29:39
300.83,299.5,3.2231556,0.0003183088,299.49,+009.7,32,02/12/2025-12:29:49
300.82,299.48,3.2231513,0.0003183085,299.47,+009.7,33,02/12/2025-12:29:59
300.81,299.46,3.2231513,0.0003183091,299.46,+009.7,34,02/12/2025-12:30:09
300.8,299.45,3.223148,0.0003183071,299.44,+009.7,35,02/12/2025-12:30:19
300.79,299.43,3.2231448,0.0003183079,299.42,+009.7,36,02/12/2025-12:30:29
300.78,299.41,3.2231459,0.0003183079,299.41,+009.7,37,02/12/2025-12:30:39
300.77,299.4,3.2231405,0.0003183056,299.39,+009.7,38,02/12/2025-12:30:49
300.76,299.38,3.2231372,0.0003183059,299.37,+009.7,39,02/12/2025-12:30:59
300.76,299.36,3.2231361,0.0003183076,299.36,+009.7,40,02/12/2025-12:31:09
300.75,299.35,3.223134,0.0003183076,299.34,+009.7,41,02/12/2025-12:31:19
300.74,299.33,3.2231297,0.0003183074,299.32,+009.6,42,02/12/2025-12:31:29
300.73,299.31,3.2231286,0.0003183036,299.31,+009.7,43,02/12/2025-12:31:39
300.72,299.3,3.2231264,0.0003183007,299.29,+009.6,44,02/12/2025-12:31:49
300.71,299.28,3.2231242,0.0003183071,299.27,+009.6,45,02/12/2025-12:31:59
300.7,299.26,3.2231199,0.0003183036,299.26,+009.6,46,02/12/2025-12:32:09
300.69,299.25,3.2231188,0.000318301,299.24,+009.6,47,02/12/2025-12:32:19
300.68,299.23,3.2231145,0.0003183005,299.22,+009.6,48,02/12/2025-12:32:29
300.67,299.21,3.2231156,0.0003183068,299.21,+009.6,49,02/12/2025-12:32:39
300.66,299.2,3.2231113,0.0003183016,299.19,+009.6,50,02/12/2025-12:32:49
300.65,299.18,3.2231102,0.0003183007,299.17,+009.6,51,02/12/2025-12:32:59
300.64,299.16,3.223108,0.0003183042,299.16,+009.6,52,02/12/2025-12:33:09
300.63,299.15,3.2231037,0.0003183013,299.14,+009.6,53,02/12/2025-12:33:19
300.62,299.13,3.2231005,0.0003183033,299.12,+009.6,54,02/12/2025-12:33:29
300.62,299.11,3.2230972,0.0003183025,299.11,+009.6,55,02/12/2025-12:33:39
300.61,299.1,3.2230961,0.0003183007,299.09,+009.6,56,02/12/2025-12:33:49
300.6,299.08,3.2230907,0.0003183019,299.07,+009.6,57,02/12/2025-12:33:59
300.59,299.06,3.223094,0.0003183007,299.06,+009.6,58,02/12/2025-12:34:09
300.58,299.05,3.2230875,0.0003183005,299.04,+009.6,59,02/12/2025-12:34:19
300.57,299.03,3.2230842,0.0003182996,299.02,+009.5,60,02/12/2025-12:34:29
300.56,299.01,3.2230842,0.0003183002,299.01,+009.5,61,02/12/2025-12:34:39
300.55,299.0,3.2230821,0.0003182996,298.99,+009.5,62,02/12/2025-12:34:49
300.54,298.98,3.2230788,0.0003183016,298.97,+009.5,63,02/12/2025-12:34:59
300.53,298.96,3.2230767,0.0003182996,298.96,+009.5,64,02/12/2025-12:35:09
300.52,298.95,3.2230745,0.0003183019,298.94,+009.5,65,02/12/2025-12:35:19
300.51,298.93,3.2230713,0.0003182984,298.92,+009.5,66,02/12/2025-12:35:29
300.49,298.91,3.2230691,0.000318301,298.91,+009.5,67,02/12/2025-12:35:39
300.48,298.9,3.2230669,0.0003182993,298.89,+009.5,68,02/12/2025-12:35:49
300.47,298.88,3.2230669,0.0003182947,298.87,+009.5,69,02/12/2025-12:35:59
300.46,298.86,3.2230626,0.0003182976,298.86,+009.5,70,02/12/2025-12:36:09
300.45,298.85,3.2230615,0.0003182984,298.84,+009.5,71,02/12/2025-12:36:19
300.44,298.83,3.2230583,0.000318301,298.82,+009.5,72,02/12/2025-12:36:29
300.43,298.81,3.2230572,0.0003182953,298.81,+009.5,73,02/12/2025-12:36:39
300.42,298.8,3.2230551,0.0003182987,298.79,+009.5,74,02/12/2025-12:36:49
300.41,298.78,3.2230507,0.000318295,298.77,+009.5,75,02/12/2025-12:36:59
300.4,298.76,3.2230496,0.0003182947,298.76,+009.5,76,02/12/2025-12:37:09
300.39,298.75,3.2230475,0.0003182961,298.74,+009.5,77,02/12/2025-12:37:19
300.38,298.73,3.2230453,0.0003182984,298.72,+009.5,78,02/12/2025-12:37:29
300.37,298.71,3.2230453,0.0003182947,298.71,+009.4,79,02/12/2025-12:37:39
300.36,298.7,3.2230399,0.0003182953,298.69,+009.4,80,02/12/2025-12:37:49
300.35,298.68,3.2230378,0.000318295,298.67,+009.4,81,02/12/2025-12:37:59
300.33,298.66,3.2230367,0.0003182927,298.66,+009.4,82,02/12/2025-12:38:09
300.32,298.65,3.2230345,0.0003182924,298.64,+009.4,83,02/12/2025-12:38:19
300.31,298.63,3.2230313,0.000318295,298.62,+009.4,84,02/12/2025-12:38:29
