# start_setpoint = 300 K
# end_setpoint = 160 K
# ramp_rate = 0.2 K/min
# t0 = 6 min
# resistance = 3 kOhm
# start_date = 2025-04-01
TemperatureA,TemperatureB,Voltage,Current,Setpoint,pwr,mnumber,Time
300.0,305.0,+3.30370830E+00,+1.06245340E-03,+304.99,+009.2,0,02/04/2025-04:39:06
300.0,304.99,+3.30370720E+00,+1.06245260E-03,+304.96,+008.9,1,02/04/2025-04:39:16
300.0,304.98,+3.30370830E+00,+1.06245280E-03,+304.92,+008.6,2,02/04/2025-04:39:26
300.0,304.96,+3.30370620E+00,+1.06245170E-03,+304.89,+008.5,3,02/04/2025-04:39:36
300.0,304.93,+3.30370620E+00,+1.06244850E-03,+304.86,+008.3,4,02/04/2025-04:39:46
300.0,304.9,+3.30370830E+00,+1.06244650E-03,+304.82,+008.2,5,02/04/2025-04:39:56
300.01,304.87,+3.30370720E+00,+1.06244970E-03,+304.79,+008.1,6,02/04/2025-04:40:06
300.01,304.83,+3.30370400E+00,+1.06245460E-03,+304.75,+008.0,7,02/04/2025-04:40:16
300.01,304.8,+3.30370180E+00,+1.06245030E-03,+304.72,+008.0,8,02/04/2025-04:40:26
300.01,304.76,+3.30370290E+00,+1.06245340E-03,+304.69,+007.9,9,02/04/2025-04:40:37
300.01,304.72,+3.30369970E+00,+1.06245200E-03,+304.65,+007.9,10,02/04/2025-04:40:47
300.01,304.68,+3.30370070E+00,+1.06244620E-03,+304.62,+007.9,11,02/04/2025-04:40:57
300.01,304.64,+3.30370180E+00,+1.06244880E-03,+304.59,+007.9,12,02/04/2025-04:41:07
300.01,304.6,+3.30370180E+00,+1.06245140E-03,+304.55,+007.9,13,02/04/2025-04:41:17
300.02,304.56,+3.30369750E+00,+1.06244850E-03,+304.52,+007.8,14,02/04/2025-04:41:27
300.02,304.53,+3.30369970E+00,+1.06245050E-03,+304.48,+007.8,15,02/04/2025-04:41:37
300.02,304.49,+3.30369860E+00,+1.06244560E-03,+304.45,+007.8,16,02/04/2025-04:41:47
300.02,304.45,+3.30369970E+00,+1.06244880E-03,+304.42,+007.8,17,02/04/2025-04:41:57
300.02,304.41,+3.30369860E+00,+1.06244910E-03,+304.38,+007.8,18,02/04/2025-04:42:07
300.02,304.38,+3.30369860E+00,+1.06244790E-03,+304.35,+007.8,19,02/04/2025-04:42:18
300.02,304.34,+3.30369860E+00,+1.06244910E-03,+304.32,+007.8,20,02/04/2025-04:42:28
300.02,304.31,+3.30369430E+00,+1.06244480E-03,+304.28,+007.8,21,02/04/2025-04:42:38
300.02,304.27,+3.30369640E+00,+1.06244970E-03,+304.25,+007.8,22,02/04/2025-04:42:48
300.02,304.23,+3.30369320E+00,+1.06244910E-03,+304.22,+007.8,23,02/04/2025-04:42:58
300.02,304.2,+3.30369430E+00,+1.06244790E-03,+304.18,+007.8,24,02/04/2025-04:43:08
300.02,304.17,+3.30369320E+00,+1.06244560E-03,+304.15,+007.8,25,02/04/2025-04:43:18
300.02,304.13,+3.30369320E+00,+1.06244280E-03,+304.11,+007.8,26,02/04/2025-04:43:28
300.02,304.1,+3.30369100E+00,+1.06244480E-03,+304.08,+007.8,27,02/04/2025-04:43:38
300.03,304.06,+3.30369100E+00,+1.06245000E-03,+304.05,+007.8,28,02/04/2025-04:43:49
300.03,304.03,+3.30369100E+00,+1.06244880E-03,+304.01,+007.8,29,02/04/2025-04:43:59
300.03,303.99,+3.30368780E+00,+1.06244250E-03,+303.98,+007.8,30,02/04/2025-04:44:09
300.03,303.96,+3.30368890E+00,+1.06244590E-03,+303.95,+007.8,31,02/04/2025-04:44:19
300.03,303.92,+3.30368670E+00,+1.06244620E-03,+303.91,+007.8,32,02/04/2025-04:44:29
300.03,303.89,+3.30368780E+00,+1.06244360E-03,+303.88,+007.7,33,02/04/2025-04:44:39
300.03,303.86,+3.30368780E+00,+1.06244740E-03,+303.84,+007.7,34,02/04/2025-04:44:49
300.03,303.82,+3.30368560E+00,+1.06244280E-03,+303.81,+007.7,35,02/04/2025-04:44:59
300.03,303.78,+3.30368450E+00,+1.06244540E-03,+300.00,+000.0,36,02/04/2025-04:45:09
300.03,303.54,+3.30368350E+00,+1.06243960E-03,+300.00,+000.0,37,02/04/2025-04:45:19
300.03,303.28,+3.30368350E+00,+1.06244330E-03,+300.00,+000.0,38,02/04/2025-04:45:29
300.03,303.02,+3.30368560E+00,+1.06244250E-03,+300.00,+000.0,39,02/04/2025-04:45:39
300.02,302.75,+3.30368240E+00,+1.06244650E-03,+300.00,+000.0,40,02/04/2025-04:45:49
300.02,302.49,+3.30368240E+00,+1.06244680E-03,+300.00,+000.0,41,02/04/2025-04:45:59
300.02,302.23,+3.30368020E+00,+1.06244250E-03,+300.00,+000.0,42,02/04/2025-04:46:09
300.02,301.98,+3.30368020E+00,+1.06244360E-03,+300.00,+000.0,43,02/04/2025-04:46:19
